"","ID","RT","acc","trial","gender","ethnicity","race","income","mother_edu","father_edu","age_years","age_months","condition","drop","target","familiarity","response","item","avg_acc","similar"
"147","111",2504,1,"3","Female","Caucasian","","f","e","e",2.64,31.69,7,0,"Apple","1","Left","AppleBear",0.85,"dissimilar"
"148","112",1622,1,"3","Male","Caucasian","","f","e","e",2.65,31.86,8,0,"Spoon","1","Left","SpoonBall",0.75,"dissimilar"
"149","113",12155,0,"3","Male","Caucasiasian-American","","f","e","b",2.55,30.54,1,0,"Doll","1","Left","CakeDoll",0.75,"dissimilar"
"150","114",8541,1,"3","Male","Non-Hispanic","Caucasian","d","d","d",2.33,27.95,2,0,"Duck","1","Right","BalloonsDuck ",0.95,"dissimilar"
"151","116",1725,1,"3","Female","Asian-Russian","","d","e","d",2.49,29.85,4,0,"Ball","1","Right","SpoonBall",0.55,"dissimilar"
"152","117",2137,1,"3","Male","Non-Hispanic","Caucasian","e","e","g",2.59,31.04,5,0,"Cake","1","Left","CakeDoll",0.95,"dissimilar"
"153","118",2141,1,"3","Male","Non-Hispanic","Caucasian","f","e","g",2.28,27.39,6,0,"Balloons","1","Left","BalloonsDuck ",0.75,"dissimilar"
"154","121",2135,1,"3","Female","African American, Caucasian, American Indian, Asian-American","Caucasian","a","c","",2.7,32.45,1,0,"Doll","1","Right","CakeDoll",0.55,"dissimilar"
"155","123",2118,1,"3","Male","Caucasian","","f","g","g",2.64,31.73,3,0,"Bear","1","Right","AppleBear",0.85,"dissimilar"
"156","34",4379,0,"3","Female","Hispanic","Caucasian","d","e","e",2.35,28.21,2,0,"Duck","1","Left","BalloonsDuck ",0.6,"dissimilar"
"157","35",4231,1,"3","Male","Non-Hispanic","Asian & Caucasian","f","e","e",2.27,27.25,3,0,"Bear","1","Right","AppleBear",0.6,"dissimilar"
"158","36",2885,1,"3","Female","Non-Hispanic","Caucasian","f","d","g",2.24,26.83,4,0,"Ball","1","Right","SpoonBall",0.95,"dissimilar"
"159","37",2393,1,"3","Female","Non-Hispanic","Caucasian","f","e","e",2.2,26.4,5,0,"Cake","1","Left","CakeDoll",0.55,"dissimilar"
"160","38",3786,1,"3","Female","Non-Hispanic","Asian & Caucasian","f","d","e",2.21,26.5,6,0,"Balloons","1","Left","BalloonsDuck ",0.8,"dissimilar"
"161","39",12952,1,"3","Male","Non-Hispanic","Caucasian","c","b","b",2.19,26.24,7,0,"Apple","1","Left","AppleBear",0.9,"dissimilar"
"162","40",15821,1,"3","Male","Hispanic","Caucasian","e","g","g",2.33,27.95,8,0,"Spoon","1","Left","SpoonBall",0.647058823529412,"dissimilar"
"163","41",4306,1,"3","Female","Hispanic","","f","d","d",2.23,26.79,1,0,"Doll","1","Right","CakeDoll",0.55,"dissimilar"
"164","43",4293,1,"3","Female","Not Hispanic","Caucasian","f","g","e",2.33,27.95,3,0,"Bear","1","Right","AppleBear",0.85,"dissimilar"
"165","44",3816,1,"3","Male","Not Hispanic","Caucasian","b","d","b",2.27,27.19,4,0,"Ball","1","Right","SpoonBall",0.9,"dissimilar"
"166","45",3743,1,"3","Female","Not Hispanic","Caucasian","","d","g",2.39,28.73,5,0,"Cake","1","Left","CakeDoll",0.944444444444444,"dissimilar"
