"","ID","RT","acc","trial","gender","ethnicity","race","income","mother_edu","father_edu","age_years","age_months","condition","drop","target","familiarity","response","item","similar"
"171","49",4834,0,"3","Female","Not Hispanic","Native Hawaiian & Caucasian","c","d","f",2.26,27.16,1,0,"Doll","1","Left","CakeDoll","dissimilar"
"172","50",3058,1,"3","Female","Not Hispanic","Asian and Caucasian","d","e","g",2.22,26.7,2,0,"Duck","1","Right","BalloonsDuck ","dissimilar"
"173","51",3052,1,"3","Male","Not Hispanic","Caucasian","f","g","e",2.47,29.69,3,0,"Bear","1","Right","AppleBear","dissimilar"
"174","52",3964,1,"3","Female","Not Hispanic","Caucasian","e","e","c",2.2,26.37,4,0,"Ball","1","Right","SpoonBall","dissimilar"
"175","53",3913,1,"3","Male","Not Hispanic","Caucasian","e","c","e",2.3,27.55,5,0,"Cake","1","Left","CakeDoll","dissimilar"
"176","54",5296,1,"3","Female","Hispanic","Caucasian","f","c","d",2.16,25.94,6,0,"Balloons","1","Left","BalloonsDuck ","dissimilar"
"177","56",4803,1,"3","Female","Not Hispanic","Caucasian","f","g","e",2.45,29.39,8,0,"Spoon","1","Left","SpoonBall","dissimilar"
"178","57",6561,0,"3","Female","Not Hispanic","African American/Caucasian","f","g","c",2.33,27.95,1,0,"Doll","1","Left","CakeDoll","dissimilar"
"179","59",4190,1,"3","Male","Not Hispanic","Caucasian","d","d","e",2.27,27.19,3,0,"Bear","1","Right","AppleBear","dissimilar"
"180","60",1983,1,"3","Female","Not Hispanic","Caucasian","c","e","c",2.31,27.68,4,0,"Ball","1","Right","SpoonBall","dissimilar"
"181","62",4262,1,"3","Female","1/8 Hispanic","Caucasian","d","e","b",2.34,28.04,6,0,"Balloons","1","Left","BalloonsDuck ","dissimilar"
"182","63",3497,1,"3","Male","Hispanic","","e","c","c",2.36,28.34,7,0,"Apple","1","Left","AppleBear","dissimilar"
"183","64",3955,1,"3","","Not Hispanic","Caucasian","c","c","d",2.41,28.96,8,0,"Spoon","1","Left","SpoonBall","dissimilar"
"184","65",4989,1,"3","Male","","Caucasian","f","e","e",2.48,29.72,1,0,"Doll","1","Right","CakeDoll","dissimilar"
"185","66",2745,1,"3","Female","Not Hispanic","Asian/Caucasian","f","g","f",2.41,28.96,2,0,"Duck","1","Right","BalloonsDuck ","dissimilar"
"186","67",2106,1,"3","Female","Not Hispanic","Caucasian","e","e","e",2.33,28.01,3,0,"Bear","1","Right","AppleBear","dissimilar"
"187","68",3210,1,"3","Male","Not Hispanic","Caucasian","e","c","d",2.32,27.88,4,0,"Ball","1","Right","SpoonBall","dissimilar"
"188","69",8779,1,"3","Male","Not Hispanic","Caucasian","f","g","g",2.36,28.37,5,0,"Cake","1","Left","CakeDoll","dissimilar"
"189","70",1726,1,"3","Male","Hispanic","","b","b","b",2.55,30.61,6,0,"Balloons","1","Left","BalloonsDuck ","dissimilar"
"190","71",3064,1,"3","Female","Not Hispanic","Caucasian","e","d","b",2.56,30.71,7,0,"Apple","1","Left","AppleBear","dissimilar"
