Date,Time,File,Subj,Cond,Block,Trial,Order,task,Resp,Name,Stim,RT,Correct,Started@,LoadTime,TotalInt,Stim 1,Time 1,Stim 2,Time 2
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,38,38.01,encode,57,SPACE,YELLOW,1188,TRUE,82569,32,49,YELLOW,1217,blacksquare.bmp,100
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,39,39.01,encode,57,SPACE,YELLOW,1491,TRUE,83935,32,49,YELLOW,1517,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,40,40.01,encode,57,SPACE,GREEN,1037,TRUE,85602,32,49,GREEN,1066,blacksquare.bmp,102
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,41,41.01,encode,57,SPACE,YELLOW,1074,TRUE,86819,32,49,YELLOW,1099,blacksquare.bmp,102
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,42,42.01,encode,57,SPACE,BLUE,1213,TRUE,88069,32,49,BLUE,1233,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,43,43.01,encode,57,SPACE,GREEN,1099,TRUE,89452,32,49,GREEN,1117,blacksquare.bmp,100
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,44,44.01,encode,57,SPACE,RED,1038,TRUE,90718,33,49,RED,1068,blacksquare.bmp,100
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,45,45.01,encode,57,SPACE,GREEN,947,TRUE,91935,32,49,GREEN,967,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,46,46.01,encode,57,SPACE,YELLOW,987,TRUE,93052,33,49,YELLOW,1017,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,47,47.01,encode,57,SPACE,RED,946,TRUE,94219,32,48,RED,967,blacksquare.bmp,102
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,48,48.01,encode,57,SPACE,GREEN,963,TRUE,95336,32,48,GREEN,984,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,49,49.01,encode,57,SPACE,YELLOW,962,TRUE,96469,32,49,YELLOW,983,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,50,50.01,encode,57,SPACE,RED,947,TRUE,97602,32,49,RED,967,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,51,51.01,encode,57,SPACE,YELLOW,1268,TRUE,98719,32,49,YELLOW,1283,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,52,52.01,encode,57,SPACE,GREEN,1095,TRUE,100152,32,49,GREEN,1117,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,53,53.01,encode,57,SPACE,RED,1626,TRUE,101419,32,48,RED,1651,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,54,54.01,encode,57,SPACE,RED,1223,TRUE,103219,33,49,RED,1250,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,55,55.01,encode,57,SPACE,GREEN,997,TRUE,104619,32,49,GREEN,1016,blacksquare.bmp,102
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,56,56.01,encode,57,SPACE,BLUE,1106,TRUE,105786,32,49,BLUE,1133,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,57,57.01,encode,57,SPACE,RED,1085,TRUE,107069,32,49,RED,1117,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,58,58.01,encode,57,SPACE,GREEN,968,TRUE,108336,32,48,GREEN,984,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,59,59.01,encode,57,SPACE,RED,1215,TRUE,109469,33,49,RED,1234,blacksquare.bmp,100
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,60,60.01,encode,57,SPACE,YELLOW,1157,TRUE,110852,32,49,YELLOW,1184,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,61,61.01,encode,57,SPACE,YELLOW,1037,TRUE,112186,32,49,YELLOW,1066,blacksquare.bmp,102
